0_x,0_y,0_z,1_x,1_y,1_z,2_x,2_y,2_z,3_x,3_y,3_z,4_x,4_y,4_z,5_x,5_y,5_z,6_x,6_y,6_z,7_x,7_y,7_z,8_x,8_y,8_z,9_x,9_y,9_z,10_x,10_y,10_z,11_x,11_y,11_z,12_x,12_y,12_z,13_x,13_y,13_z,14_x,14_y,14_z,15_x,15_y,15_z,16_x,16_y,16_z,17_x,17_y,17_z,18_x,18_y,18_z,19_x,19_y,19_z,20_x,20_y,20_z,21_x,21_y,21_z,22_x,22_y,22_z,23_x,23_y,23_z
0.205158,0.761514,0.178642,0.31219,0.643192,0.311492,0.137752,0.493488,0.258463,0.208249,0.832468,0.172078,0.290447,0.178079,0.249112,0.10738,0.238159,0.18519,0.1655035,1.1540895,0.050017,0.307255,0.101377,0.179714,0.14618,0.087551,0.101089,0.166952,1.266129,0.057784,0.292351,0.050475,0.311645,0.125073,0.051977,0.237133,0.173484,1.23283,0.090924,0.208129,1.192862,0.0839,0.139595,1.192268,0.095855,0.159512,1.35503,0.148811,0.328817,1.21517,0.076374,0.024654,1.214985,0.13317,0.358114,1.025929,0.114329,-0.004614,1.027163,0.177636,0.137888,0.8667875,0.015137999999999999,-0.060941,0.7939944999999999,0.256243,-0.098275,0.724717,0.226593,-0.098275,0.724717,0.226593
0.20484,0.761133,0.177564,0.316419,0.645032,0.309689,0.138799,0.493036,0.258744,0.20774,0.832068,0.170706,0.296263,0.179713,0.247456,0.11667,0.237565,0.18878,0.17314400000000002,1.1436250000000001,0.0605805,0.312035,0.103748,0.177012,0.147713,0.087346,0.100851,0.17483,1.255899,0.063188,0.297881,0.053103,0.309125,0.12618,0.050904,0.236598,0.179077,1.22417,0.098188,0.213833,1.183794,0.095209,0.144686,1.184004,0.102884,0.161381,1.348713,0.149714,0.330593,1.215398,0.073116,0.028259,1.207408,0.134772,0.364259,1.0263,0.108039,-0.003412,1.018988,0.174845,0.1466445,0.8645545,0.006939999999999998,-0.057981500000000005,0.791245,0.2576425,-0.095401,0.721987,0.228058,-0.095401,0.721987,0.228058
0.20486,0.760769,0.176638,0.320903,0.64664,0.307492,0.140282,0.492593,0.25962,0.207455,0.831693,0.169553,0.303511,0.181178,0.244592,0.126225,0.237,0.191345,0.17317100000000002,1.140218,0.0637955,0.317854,0.106287,0.172707,0.148342,0.087109,0.100217,0.17471,1.252519,0.064929,0.307322,0.055451,0.305084,0.126585,0.050564,0.235901,0.178868,1.22126,0.100359,0.213684,1.180893,0.098039,0.14451,1.181115,0.10546,0.160846,1.346343,0.150442,0.328257,1.21529,0.069582,0.027977,1.204456,0.137008,0.366924,1.026669,0.101798,-0.002474,1.015583,0.175874,0.15295999999999998,0.861412,-0.0020475000000000007,-0.0533555,0.7886705,0.2595,-0.09108,0.719465,0.23018,-0.09108,0.719465,0.23018
0.205092,0.760708,0.176391,0.325582,0.647931,0.305345,0.142097,0.492566,0.26141,0.207367,0.831588,0.16878,0.31262,0.182647,0.239366,0.135046,0.236814,0.192931,0.167455,1.1425765,0.061116500000000004,0.32516,0.109386,0.165492,0.148139,0.087315,0.099445,0.168546,1.254867,0.06331,0.322502,0.057134,0.297711,0.126603,0.050647,0.235132,0.174238,1.223282,0.098234,0.209111,1.183106,0.094139,0.140283,1.182926,0.104286,0.158047,1.347718,0.150509,0.324215,1.21594,0.065981,0.024861,1.205574,0.140127,0.367856,1.027985,0.095635,-0.000906,1.016494,0.181306,0.15839750000000002,0.858077,-0.010944000000000002,-0.0466945,0.786734,0.26190599999999997,-0.084752,0.717474,0.233152,-0.084752,0.717474,0.233152
0.205648,0.760911,0.176574,0.330996,0.648667,0.302719,0.1442,0.492757,0.263375,0.207612,0.831756,0.16856,0.32368,0.183982,0.231611,0.141333,0.23691,0.193616,0.156821,1.1497935,0.053928500000000004,0.334146,0.112535,0.155666,0.146095,0.087702,0.098878,0.157074,1.261958,0.059779,0.341308,0.058385,0.28695,0.126081,0.050826,0.234741,0.165796,1.229319,0.093072,0.200595,1.189705,0.0849,0.132791,1.188397,0.100429,0.153533,1.351897,0.150546,0.318407,1.216813,0.062416,0.019992,1.20976,0.144473,0.366878,1.029725,0.08998,0.001584,1.020288,0.187744,0.162837,0.8543975,-0.01958,-0.038117,0.785432,0.2651155,-0.076052,0.715592,0.23763,-0.076052,0.715592,0.23763
0.206943,0.761042,0.177013,0.337069,0.650016,0.300648,0.1461,0.492517,0.26527,0.208436,0.831868,0.168731,0.336032,0.186365,0.222999,0.145034,0.236625,0.193845,0.1517995,1.1527094999999998,0.051711499999999994,0.345384,0.117195,0.144833,0.144985,0.087899,0.098232,0.152364,1.264801,0.058801,0.36094,0.059085,0.273675,0.125732,0.050979,0.234193,0.162424,1.23179,0.09134,0.196833,1.192264,0.081304,0.129723,1.190794,0.099588,0.152278,1.353707,0.150605,0.315244,1.216931,0.059161,0.018519,1.211647,0.14774,0.366749,1.030326,0.084401,0.005583,1.021818,0.191426,0.16726950000000002,0.8506135,-0.027354499999999997,-0.027934999999999998,0.785044,0.269336,-0.065393,0.714512,0.242985,-0.065393,0.714512,0.242985
0.208684,0.76091,0.177136,0.344416,0.650444,0.297294,0.147862,0.491921,0.266866,0.209684,0.831745,0.168861,0.349845,0.188023,0.213252,0.146732,0.236,0.194536,0.149733,1.153473,0.0516575,0.356083,0.120637,0.13324,0.144299,0.087626,0.098408,0.151158,1.265569,0.058559,0.380506,0.059872,0.259455,0.125564,0.050913,0.234497,0.161749,1.232541,0.090912,0.195674,1.192786,0.080159,0.128988,1.191763,0.099964,0.152872,1.354378,0.150545,0.313848,1.216739,0.056054,0.018825,1.212529,0.150489,0.366927,1.030296,0.079127,0.01017,1.02247,0.194237,0.171266,0.846794,-0.034308,-0.016639499999999998,0.7851625,0.274435,-0.053453,0.713763,0.249553,-0.053453,0.713763,0.249553
0.210346,0.760964,0.176957,0.352986,0.650601,0.292589,0.149667,0.491755,0.268147,0.211091,0.831831,0.16893,0.365365,0.189391,0.202991,0.148,0.235745,0.194893,0.1488305,1.1534655,0.052421499999999996,0.366743,0.123162,0.121791,0.143701,0.087755,0.098242,0.151171,1.265581,0.05874,0.401051,0.060683,0.244829,0.125408,0.050862,0.234342,0.162131,1.232635,0.091054,0.19557,1.192587,0.079867,0.12926,1.192134,0.100916,0.154455,1.354625,0.150537,0.313266,1.216234,0.053252,0.020032,1.213113,0.153348,0.366618,1.029655,0.074534,0.014911,1.022917,0.197054,0.17476799999999998,0.8425670000000001,-0.040611,-0.004986500000000001,0.78582,0.28043399999999996,-0.041061,0.713447,0.257347,-0.041061,0.713447,0.257347
0.212576,0.761315,0.176871,0.362554,0.650859,0.287049,0.152266,0.49175,0.269031,0.213072,0.832214,0.16911,0.381701,0.190792,0.192726,0.148921,0.235785,0.195338,0.1487755,1.1535605,0.053327,0.37872,0.124989,0.111222,0.143635,0.088028,0.09838,0.151616,1.265684,0.059271,0.42317,0.061361,0.230363,0.125424,0.050849,0.234413,0.16304,1.232793,0.09148,0.196134,1.192597,0.079815,0.130211,1.192437,0.10205,0.156667,1.355024,0.150625,0.313371,1.215705,0.050806,0.021956,1.21373,0.156338,0.365928,1.028762,0.070834,0.019726,1.023552,0.200366,0.178282,0.8379544999999999,-0.046144,0.006496999999999998,0.7868265000000001,0.287199,-0.02889,0.713463,0.266276,-0.02889,0.713463,0.266276
0.215384,0.761771,0.177129,0.372533,0.650799,0.280832,0.155576,0.491845,0.270042,0.215695,0.832693,0.169578,0.397428,0.191729,0.182665,0.149704,0.236017,0.196074,0.149477,1.153836,0.054278,0.391244,0.125706,0.10152,0.143655,0.088432,0.098898,0.152451,1.265964,0.060089,0.446285,0.061899,0.216055,0.125499,0.050755,0.234802,0.164458,1.233093,0.092107,0.197323,1.192881,0.079863,0.13182,1.192752,0.103306,0.159591,1.355585,0.150851,0.314112,1.215198,0.048522,0.02466,1.214416,0.159584,0.365412,1.02785,0.068019,0.024506,1.024435,0.204511,0.18219200000000002,0.8333200000000001,-0.050807,0.0174965,0.7883365,0.2945545,-0.017405,0.714135,0.275892,-0.017405,0.714135,0.275892
