0_x,0_y,0_z,1_x,1_y,1_z,2_x,2_y,2_z,3_x,3_y,3_z,4_x,4_y,4_z,5_x,5_y,5_z,6_x,6_y,6_z,7_x,7_y,7_z,8_x,8_y,8_z,9_x,9_y,9_z,10_x,10_y,10_z,11_x,11_y,11_z,12_x,12_y,12_z,13_x,13_y,13_z,14_x,14_y,14_z,15_x,15_y,15_z,16_x,16_y,16_z,17_x,17_y,17_z,18_x,18_y,18_z,19_x,19_y,19_z,20_x,20_y,20_z,21_x,21_y,21_z,22_x,22_y,22_z,23_x,23_y,23_z
-0.14715,0.748815,0.290049,-0.007674,0.634473,0.40111,-0.17214,0.486517,0.367291,-0.14145,0.819377,0.28135,0.100731,0.181001,0.355662,-0.17936,0.235664,0.302532,-0.1781725,1.129332,0.1364255,0.136251,0.108288,0.289081,-0.21338,0.080697,0.224499,-0.170282,1.240765,0.124778,0.145914,0.052277,0.419421,-0.143182,0.053769,0.34519,-0.16134,1.212952,0.162144,-0.129832,1.170077,0.158136,-0.196307,1.176178,0.177736,-0.147038,1.344712,0.192375,-0.009881,1.183218,0.134494,-0.305396,1.205438,0.226349,0.053831,1.003629,0.176915,-0.335008,1.024506,0.293414,0.08228250000000001,0.7880145000000001,0.245377,-0.315357,1.0140195,0.5235339999999999,-0.247412,0.990871,0.56735,-0.247412,0.990871,0.56735
-0.147295,0.748503,0.289488,-0.008464,0.63403,0.401256,-0.173158,0.485922,0.3664,-0.141713,0.81907,0.280758,0.100405,0.18071,0.355652,-0.180033,0.235329,0.302056,-0.177338,1.129346,0.1354935,0.136764,0.108213,0.289288,-0.213402,0.080157,0.224149,-0.169281,1.240787,0.124035,0.145859,0.052091,0.419621,-0.143648,0.053595,0.345178,-0.160697,1.21293,0.161453,-0.129176,1.170042,0.157688,-0.195825,1.176159,0.176685,-0.146612,1.344708,0.191709,-0.009012,1.183076,0.135094,-0.305379,1.205463,0.224213,0.05404,1.003374,0.178016,-0.335517,1.024272,0.290337,0.08290149999999999,0.788537,0.2469475,-0.31882900000000003,1.014293,0.520744,-0.251045,0.991634,0.565063,-0.251045,0.991634,0.565063
-0.14793,0.748362,0.288583,-0.009555,0.633785,0.401084,-0.174587,0.485793,0.365556,-0.142213,0.81895,0.280108,0.100187,0.18068,0.355781,-0.180688,0.235457,0.301482,-0.1764795,1.129293,0.134453,0.136194,0.108056,0.289364,-0.213336,0.080048,0.223742,-0.167985,1.240722,0.1232,0.145659,0.051686,0.419563,-0.143904,0.053531,0.344966,-0.159901,1.212805,0.160684,-0.128459,1.169833,0.157232,-0.1953,1.176116,0.175481,-0.146048,1.34455,0.191185,-0.008087,1.182852,0.135759,-0.305398,1.205439,0.221727,0.054277,1.003012,0.179109,-0.336002,1.024059,0.287115,0.08235,0.7885815,0.248049,-0.32206250000000003,1.0142085,0.5179594999999999,-0.254925,0.991307,0.563129,-0.254925,0.991307,0.563129
-0.147817,0.747734,0.287353,-0.010668,0.633188,0.400752,-0.176041,0.484857,0.365087,-0.142194,0.818377,0.279283,0.10041,0.180426,0.355987,-0.181171,0.234652,0.300964,-0.1754395,1.129136,0.13349149999999999,0.135956,0.107602,0.28954,-0.213217,0.079095,0.22327,-0.16656,1.240553,0.122411,0.145467,0.051199,0.419723,-0.143953,0.053349,0.344756,-0.158985,1.212594,0.15997,-0.127602,1.169553,0.156864,-0.19464,1.175977,0.174323,-0.145529,1.34433,0.190689,-0.007028,1.182604,0.136575,-0.305357,1.205303,0.219064,0.054858,1.002665,0.180199,-0.336525,1.023722,0.28362,0.0807425,0.78781,0.249068,-0.3257095,1.0138745,0.5149185000000001,-0.259042,0.99109,0.560837,-0.259042,0.99109,0.560837
-0.148167,0.747472,0.286394,-0.011906,0.632819,0.400639,-0.177334,0.484559,0.364642,-0.14254,0.818137,0.278533,0.100355,0.180369,0.355823,-0.181658,0.234304,0.300656,-0.174262,1.1290710000000002,0.132485,0.135987,0.107605,0.289357,-0.213106,0.078619,0.222976,-0.165212,1.240496,0.12163,0.145476,0.051253,0.419563,-0.14395,0.053302,0.344613,-0.158095,1.212494,0.159248,-0.126692,1.169446,0.15647,-0.193932,1.175875,0.173134,-0.145056,1.344248,0.19007,-0.005905,1.1825,0.137497,-0.305249,1.205178,0.216374,0.056317,1.002657,0.181038,-0.337042,1.023357,0.279946,0.0792675,0.787077,0.2503535,-0.329651,1.0132805,0.5116160000000001,-0.263175,0.991294,0.558196,-0.263175,0.991294,0.558196
-0.149214,0.747772,0.285815,-0.013314,0.632783,0.400824,-0.17845,0.485222,0.364265,-0.143427,0.818415,0.277873,0.100247,0.180683,0.355819,-0.182194,0.234667,0.30062,-0.17305700000000002,1.1291639999999998,0.131364,0.136399,0.108079,0.28946,-0.213146,0.078882,0.222941,-0.163943,1.240613,0.120819,0.145535,0.051558,0.419618,-0.143999,0.053468,0.344563,-0.157271,1.212549,0.158471,-0.125809,1.169524,0.156002,-0.193252,1.175884,0.171853,-0.144705,1.344284,0.189569,-0.004788,1.182523,0.138542,-0.305119,1.20518,0.213656,0.060008,1.003295,0.180845,-0.337583,1.023074,0.27606,0.0787115,0.787026,0.252176,-0.3335055,1.0126805,0.5081555,-0.266543,0.993184,0.555146,-0.266543,0.993184,0.555146
-0.150244,0.748069,0.285419,-0.014646,0.632455,0.401014,-0.179097,0.485915,0.363746,-0.144341,0.818674,0.277217,0.100165,0.180776,0.355137,-0.182613,0.234922,0.30064,-0.17173850000000002,1.129068,0.1302495,0.137303,0.108503,0.28896,-0.213254,0.079053,0.223005,-0.16236,1.240508,0.119839,0.14577,0.052119,0.419223,-0.144031,0.05359,0.344574,-0.156238,1.212435,0.157577,-0.124792,1.169376,0.15554,-0.19244,1.175807,0.170459,-0.144452,1.344075,0.189375,-0.00356,1.182515,0.139729,-0.304827,1.205087,0.210856,0.061902,1.003497,0.181899,-0.338852,1.022934,0.272282,0.0782925,0.7868715,0.25422,-0.3377115,1.012226,0.504197,-0.271793,0.991811,0.552261,-0.271793,0.991811,0.552261
-0.151616,0.748441,0.284785,-0.016272,0.632451,0.401216,-0.180109,0.486772,0.362871,-0.145447,0.819013,0.276501,0.099545,0.181023,0.355201,-0.183091,0.23559,0.300345,-0.169942,1.1287495,0.1295595,0.13693,0.108817,0.289091,-0.213227,0.079518,0.22292,-0.161083,1.240255,0.119389,0.14562,0.052029,0.419163,-0.144087,0.053698,0.344461,-0.155236,1.21217,0.157162,-0.123522,1.169294,0.155437,-0.191374,1.17532,0.169582,-0.144013,1.343825,0.189102,-0.00214,1.182551,0.140929,-0.30446,1.204712,0.207889,0.062266,1.003318,0.183801,-0.340208,1.022508,0.268177,0.077035,0.7862264999999999,0.25605849999999997,-0.3420895,1.01149,0.49996999999999997,-0.277519,0.989675,0.549235,-0.277519,0.989675,0.549235
-0.152821,0.748337,0.283879,-0.017823,0.632245,0.401359,-0.181378,0.487015,0.361968,-0.14646,0.818896,0.275629,0.098595,0.180903,0.355503,-0.183606,0.235708,0.299918,-0.16812349999999998,1.128419,0.128771,0.135985,0.108671,0.289424,-0.213052,0.079439,0.222626,-0.159605,1.239973,0.118852,0.145354,0.051919,0.419465,-0.14412,0.053653,0.344292,-0.154124,1.211865,0.156663,-0.12221,1.169124,0.155292,-0.190263,1.174848,0.168573,-0.143494,1.343503,0.188873,-0.000686,1.18256,0.142206,-0.304035,1.204242,0.20479,0.062445,1.003087,0.185962,-0.3396,1.021375,0.263149,0.076143,0.7861825,0.2579395,-0.346634,1.0105515,0.495482,-0.28299,0.988182,0.545694,-0.28299,0.988182,0.545694
-0.153731,0.74844,0.283021,-0.019094,0.631688,0.400964,-0.182886,0.487171,0.361042,-0.147327,0.818994,0.274759,0.097777,0.180618,0.354684,-0.184313,0.235934,0.299549,-0.166672,1.128426,0.127784,0.135714,0.108433,0.288867,-0.212432,0.07948,0.222137,-0.158026,1.239994,0.118139,0.145375,0.05219,0.419107,-0.144021,0.053713,0.344101,-0.153079,1.211835,0.155986,-0.121144,1.169099,0.155009,-0.189379,1.174798,0.167331,-0.14312,1.34343,0.188583,0.000544,1.182587,0.143603,-0.303731,1.204113,0.201741,0.062364,1.002923,0.188435,-0.339872,1.020831,0.258419,0.0756965,0.7862335,0.260172,-0.35109049999999997,1.0094775,0.490849,-0.288022,0.98713,0.541792,-0.288022,0.98713,0.541792
